0,Library,Year,Upper Tier Code,Legal Name,New Legal Name,Mailing Address,Postal Code,City,Street Address,Library Web Site Address,Library Service Type,Population (Resident),Households (Resident),Population (Contracting),Households (Contracting),Date year starts,Date year ends,Ontario Library Service (OLS) Region,# of Active Library Cardholders,Net Balance brought forward amount,Net Balance brought forward type,Provincial Operating Funding,Local Operating Grant,Contract Revenue,Project Grants,Donations,Self-generated Revenue,Debt Services and Reserve Fund Revenues,Other operating revenue,Total Operating Revenues,Provincial capital revenues,Federal capital revenues,Local capital revenues,Other capital revenues,Total Capital Revenues,General materials expenditure,Electronic materials expenditure,Staffing expenditure,Staff Training expenditure,Facilities/Utilities,Telephone and Fax,Dedicated Internet Connectivity Costs,Computer Services,Debt Charges and Transfers to Reserve Funds,Funds returned to government sources,Contract payment made to library boards for library services,Other expenditures,Total Operating Expenditures,Total Capital Expenditures,Titles Held (Reference - English Language),Titles Held (Reference - French Language),Titles Held (Reference - Other Language),Volumes Held (Reference - English Language),Volumes Held (Reference - French Language),Volumes Held (Reference - Other Language),# of Databases (Reference - English Language),# of Databases (Reference - French Language),# of Databases (Reference - Other Language),# of CD ROM Titles (Reference - English Language),# of CD ROM Titles (Reference - French Language),# of CD ROM Titles (Reference - Other Language),# of copies of CD ROM (Reference - English Language),# of copies of CD ROM (Reference - French Language),# of copies of CD ROM (Reference - Other Language),Titles Held (Circulating - English Language),Titles Held (Circulating - French Language),Titles Held (Circulating - Other Language),Volumes Held (Circulating - English Language),Volumes Held (Circulating - French Language),Volumes Held (Circulating - Other Language),# of CD ROM Titles (Circulating - English Language),# of CD ROM Titles (Circulating - French Language),# of CD ROM Titles (Circulating - Other Language),# of copies of CD ROMs (Circulating - English Language),# of copies of CD ROMs (Circulating - French Language),# of copies of CD ROMs (Circulating - Other Language),Titles Held (Periodicals - English Language),Titles Held (Periodicals - French Language),Titles Held (Periodicals - Other Language),# of Database Subscriptions (Periodicals - English Language),# of Database Subscriptions (Periodicals - French Language),# of Database Subscriptions (Periodicals - Other Language),# of CD ROM Titles (Periodicals - English Language),# of CD ROMs Titles (Periodicals - French Language),# of CD ROM Titles (Periodicals - Other Language),# of copies of CD ROMs (Periodicals - English Language),# of copies of CD ROMs (Periodicals - French Language),# of copies of CD ROMs (Periodicals - Other Language),# of individual electronic periodical titles (English Language),# of individual electronic periodical titles (French Language),# of individual electronic periodical titles (Other Language),# of hours per week in an FTE,Librarians (Full Time - # of people),Library Technicians (Full Time - # of people),EXCEL Graduates  (Full Time - # of people),Other staff (Full Time - # of people),Volunteers (Full Time - # of people),Librarians (Part Time - # of people),Librarians (Part Time - Hours worked),Library Technicians (Part Time - # of people),Library Technicians (Part Time - Hours worked),EXCEL Graduates (Part Time - # of people),EXCEL Graduates (Part Time - Hours worked),Other staff (Part Time - # of people),Other staff (Part Time - Hours worked),Volunteers (Part Time - # of people),Volunteers (Part Time - Hours worked),# of Public access workstations,Workstations with internet access,Workstations with OPAC access,Workstations with CD ROM access,Automated catalogue available,Name of Automated Catalogue System,Does your library provide wireless Internet connection,# of Main Libraries,Main Library - total hours open per week,# of Branches open >= 12 hours per week,Branches open >= 12 hours per week - total hours open per week,# of Branches open < 12 hours per week,Branches open < 12 hours per week - total hours open per week,# of Bookmobile stops,Bookmobile hours per week,# of Deposit Stations,Deposit Station hours per week,# of Bookmobiles,Total Annual Direct Circulation,# of programs held annually,Annual program attendance,# of items borrowed,# of items lent,# of requests made to other libraries,# of requests received from other libraries,Typical Week - Direct circulation,Typical Week - Materials use in library,Typical Week -  # of people using library workstations,Typical Week -  # of times electronic databases accessed,No of people using public library wireless connection,Typical Week -  # of standard reference transactions,Typical Week -  # of electronic reference transactions,Typical Week -  # of library visits made in person,Typical Week -  # of electronic library visits
276,"County of Prince Edward, The Corporation of the",2000,68,"County of Prince Edward, The Corporation of the",County of Prince Edward,208 Main Street,K0K2T0,Picton,,www.peclibrary.org,Public or Union Library,25046,11449,0,0,01/01/2000,12/31/2000,SOLS,8168,19215,Surplus,78243,357595,0,86027,76163,14153,0,0,612181,0,0,0,0,0,62340,620,294428,0,44991,10765,0,75595,0,0,0,17453,506192,0,990,0,0,1000,0,0,0,0,0,37,0,0,300,0,0,52619,0,0,74644,0,0,0,0,0,0,0,0,56,0,0,1,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,1,12,4,106,11,131,41,26,17,17,14,3,Yes,DRA Multilis 11.2,0,1,35.5,3,54,2,20,0,0,0,0,0,132511,352,7040,1524,186,2685,1486,2478,311,119,0,0,191,0,1335,0
119,Cramahe Twp,2000,61,Cramahe Twp,"Cramahe, Township of",Box 190,K0K1S0,Colborne,"6 King St., Colborne, ON",www.visitcramahe.ca,Public or Union Library,3239,1456,0,0,01/01/2000,12/31/2000,SOLS,277,9399,Surplus,8566,12000,0,0,317,440,1675,1082,24080,0,0,0,0,0,7238,0,12545,73,45,1475,0,2137,0,440,1000,758,25711,630,8,0,0,8,0,0,0,0,0,5,0,0,5,0,0,6296,28,17,6359,28,18,2,0,0,2,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,1,16.117,1,5.539,9,27.63,1,1,0,1,No,,0,1,15.5,0,0,0,0,0,0,0,0,0,4026,0,0,87,82,98,87,67,0,3,0,0,8,1,42,0
324,Cumberland Twp,2000,20,Cumberland Twp,Ottawa,1599 Tenth Line Road,K1E3E8,Cumberland,,,Public or Union Library,51637,15852,0,0,01/01/2000,12/31/2000,SOLS,19347,79026,Surplus,56295,1146275,0,2407,0,56128,0,0,1261105,0,0,64516,79375,143891,118934,18561,572933,2761,400416,6891,3042,52195,0,0,0,49486,1225219,122019,895,445,0,1644,688,0,6,1,0,22,1,0,22,1,0,44484,25467,0,47850,27068,0,198,136,0,222,144,0,125,59,0,0,0,0,2,1,0,2,1,0,0,0,0,35,4,5,0,3,0,0,0,0,0,0,0,15,256.25,0,0,23,6,8,9,Yes,Horizon,0,1,66,0,0,0,0,5,7,0,0,1,234097,322,5708,558,653,668,1143,3976,1945,379,0,0,171,0,2702,150
402,Curve Lake FN,2000,66,Curve Lake FN,,22 Winookeeda St.,K0L1R0,"Curve Lake,ON",,http://clfnpubliclibrary.webs.com,First Nations Library,688,0,0,0,04/01/2000,03/31/2001,SOLS,200,0,Nil,2312,0,0,21896,0,0,0,0,24208,0,0,0,0,0,0,0,13000,100,0,812,0,10296,0,0,0,0,24208,0,1000,8,6,1010,8,8,0,0,0,40,0,1,80,0,1,6000,0,0,7000,0,0,40,0,0,80,0,0,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,3,2,0,3,No,,0,1,20,0,0,0,0,0,0,0,0,0,2130,6,75,20,10,15,3,50,9,15,0,0,5,0,35,0
129,Dack Twp,2000,90,Dack Twp,,R.R. #2,P0J1H0,Englehart,,,Contracting Municipality,457,168,0,0,01/01/2000,12/31/2000,OLS-N,0,0,Nil,875,0,0,0,0,0,0,0,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4001,0,4001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Dawson Twp,2000,87,Dawson Twp,Township of Dawson,P.O. Box 427,P0W1L0,Rainy River,211 4th Street,,Contracting Municipality,590,318,0,0,01/01/2000,12/31/2000,OLS-N,0,0,Nil,1644,856,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Deep River,2000,69,Deep River,,P.O. Box 278,K0J1P0,Deep River,55 Ridge Road,www.deepriverlibrary.ca,Public or Union Library,4203,1898,0,0,01/01/2000,12/31/2000,SOLS,4354,1771,Surplus,9581,165732,0,2223,2634,26293,0,0,206463,0,0,0,0,0,43574,1178,123049,2108,31133,2472,0,1298,0,0,0,8212,213024,0,1670,9,0,1880,20,0,3,0,0,15,1,0,15,1,0,38498,873,379,38587,905,385,11,0,0,11,0,0,92,5,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0,0,0,0,0,0,0,0,1,23,4,78,100,82,4,1,2,1,Yes,Winnebago Spectrum,0,1,39,0,0,0,0,0,0,0,0,0,80614,40,2315,780,1332,816,1699,1342,640,26,3,0,88,0,1421,0
431,Delaware FN,2000,27,Delaware FN,,R.R. #3,N0P2K0,Thamesville,Center Rd.,,First Nations Library,460,0,0,0,04/01/2000,03/31/2001,SOLS,0,0,Nil,1412,0,0,13000,0,0,0,0,14412,0,0,0,0,0,0,0,13000,0,0,0,0,0,0,0,2275,865,16140,0,8,0,0,114,0,0,0,0,0,4,0,0,4,0,0,1000,0,0,1000,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,3,1,0,1,No,,0,1,25,0,0,0,0,0,0,0,0,0,500,2,20,0,0,0,0,10,10,15,0,0,3,0,20,0
132,Delhi Twp,2000,12,Delhi Twp,Norfolk County,192 Main Street,N4B2M2,Delhi,,,Public or Union Library,15134,6984,0,0,01/01/2000,12/31/2000,SOLS,8220,11826,Surplus,33452,150000,0,7025,0,28151,22478,2049,243155,0,0,0,0,0,33101,1149,152843,461,40594,2327,1338,1308,10308,0,0,3395,246824,0,524,0,0,700,0,0,0,0,0,0,0,0,0,0,0,32543,32,0,33720,32,0,36,0,0,38,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,2,0,0,0,1,21,0,0,7,97,0,0,4,3,2,3,Yes,MultiLis,0,1,51,0,0,0,0,0,0,0,0,0,54316,70,1230,493,551,510,563,1502,248,250,0,0,162,0,942,0
323,Deseronto,2000,51,Deseronto,,P.O. Box 302,K0K1X0,Deseronto,358 Main Street  P.O. Box 302,www.deserontopubliclibrary.ca,Public or Union Library,1651,756,0,0,01/01/2000,12/31/2000,SOLS,0,3690,Surplus,3496,32310,0,15582,500,144,0,1721,53753,0,0,5000,0,5000,7473,0,13777,271,4649,763,0,10508,0,0,0,4111,41552,5000,33,0,0,402,0,0,0,0,0,0,0,0,0,0,0,11668,0,0,11668,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,36,4,8,3,3,0,0,No,,0,1,18,0,0,0,0,0,0,0,0,0,7012,5,644,0,0,0,0,372,22,8,0,0,15,0,124,0
403,Dokis FN,2000,86,Dokis FN,,"Box 3, Dokis Reserve",P0M2K0,Via Monetville,930 Main Road,www.dokisfirstnation.com,First Nations Library,167,0,0,0,04/01/2000,03/31/2001,OLS-N,0,0,Nil,1302,13000,0,34184,0,0,0,0,48486,0,0,0,0,0,1100,0,1300,500,10000,200,0,0,0,0,0,0,13100,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,45,0,0,46,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,3,0,0,No,,0,1,40,0,0,0,0,0,0,0,0,0,520,3,30,10,0,6,4,10,22,10,10,0,0,10,20,10
50,Dorion Twp,2000,89,Dorion Twp,,170 Dorion Loop Road,P0T1K0,Dorion,,www.dorionpubliclibrary.ca,Public or Union Library,454,211,400,0,01/01/2000,12/31/2000,OLS-N,325,1090,Surplus,1013,8432,497,18154,650,128,0,32,28906,0,0,0,0,0,2331,0,17071,0,1330,850,0,5185,675,0,0,0,27442,0,75,0,0,200,0,0,2,0,0,2,0,0,2,0,0,4500,250,25,4550,250,25,10,0,0,16,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,2,4,0,0,3,3,0,3,No,,0,1,8.5,0,0,0,0,0,0,0,0,0,6810,3,75,35,0,35,35,250,15,15,20,0,10,0,60,10
136,Douro-Dummer Twp,2000,66,Douro-Dummer Twp,Township of Douro-Dummer,"Douro-Dummer Public Library,  P.O. Box 23",K0L1S0,Douro,435 4th Line Douro,http://www.dourodummer.on.ca/library/,Public or Union Library,6394,3250,0,0,01/01/2000,12/31/2000,SOLS,532,4004,Surplus,14307,21081,0,0,0,383,0,0,35771,0,0,0,0,0,10234,0,9612,0,6662,1313,0,0,3000,0,0,555,31376,1498,2,0,0,40,0,0,0,0,0,0,0,0,0,0,0,6174,0,0,6174,0,0,0,0,0,0,0,0,8,0,0,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,1,2,0,0,6,6,0,6,No,,0,1,19,0,0,0,0,0,0,0,0,0,9624,1,18,0,0,0,0,234,23,18,18,0,17,0,56,0
138,Dryden,2000,82,Dryden,City of Dryden,36 Van Horne Avenue,P8N2A7,Dryden,,www.dryden.ca,Public or Union Library,7731,3468,1451,637,01/01/2000,12/31/2000,OLS-N,8456,-9461,Deficit,16824,267552,4403,21068,2235,10045,0,0,322127,0,0,0,0,0,46647,0,202050,2291,60845,0,0,1323,0,0,0,0,313156,0,610,0,0,1177,0,0,3,0,0,2,0,0,2,0,0,30052,74,0,30123,74,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0,0,3,0,0,0,0,0,0,0,4,41,0,0,7,5,2,0,Yes,Winnebago,0,1,62,0,0,0,0,0,0,0,0,0,73361,78,983,705,505,1256,947,1439,1148,80,0,0,102,2,1172,0
427,Dubreuilville Twp,2000,80,Dubreuilville Twp,,C.P. 39,P0S1B0,Dubreuilville,"120, rue Magpie",www.dubreuilville.ca,Public or Union Library,800,345,0,0,01/01/2000,12/31/2000,OLS-N,268,0,Nil,1913,804,0,6440,136,438,1583,0,11314,0,0,0,0,0,1849,0,8023,370,309,0,0,763,0,0,0,0,11314,0,0,15,0,0,152,0,0,0,0,0,0,0,0,0,0,52,1747,0,52,1747,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,1,1,0,0,Yes,Lexfile- approx 50% complete,0,1,10,0,0,0,0,0,0,1,168,0,3186,0,0,0,0,0,0,46,52,8,0,0,1,0,25,0
140,Dundas,2000,16,Dundas,Hamilton City,18 Ogilvie Street,L9H2S2,Dundas,,,Public or Union Library,23036,8927,0,0,01/01/2000,12/31/2000,SOLS,12352,0,Nil,39193,590539,0,5035,0,35177,0,14174,684118,0,0,53051,0,53051,92668,2000,463824,903,42631,4446,5240,14958,43898,0,1550,12000,684118,53051,1248,0,0,1497,0,0,0,0,0,0,0,0,0,0,0,63589,213,107,88027,221,111,20,0,0,39,0,0,131,0,0,2,0,0,20,0,0,20,0,0,175,0,0,35,2,1,0,7,0,0,0,1,23,0,0,2,23,25,25,15,7,7,1,Yes,Multilis,0,0,0,2,56,0,0,0,0,0,0,0,274526,269,4530,876,1199,3506,876,4974,1109,137,0,0,386,0,3100,0
141,Dunnville,2000,12,Dunnville,Haldimand County,317 Chestnut Street,N1A2H4,Dunnville,,www.granderiecap.com/dunnville,Public or Union Library,11781,5321,0,0,01/01/2000,12/31/2000,SOLS,5912,2175,Surplus,25984,163115,0,3598,8646,27049,0,2026,230418,0,0,0,0,0,35684,512,141029,2801,22973,2447,660,9961,0,0,0,13349,229416,0,448,0,0,491,0,0,0,0,0,0,0,0,0,0,0,40610,57,737,44205,57,737,50,0,0,50,0,0,70,0,1,1,0,0,0,0,0,0,0,0,1050,0,0,35,1,0,0,1,0,0,0,0,0,0,0,6,60,10,20,4,1,3,1,Yes,Dynix,0,1,47,0,0,0,0,0,0,0,0,0,106466,77,1747,787,1932,787,1932,2059,285,38,7,0,194,0,905,0
142,Durham,2000,47,Durham,West Grey Twp,240 Garafraxa Street North,N0G1R0,Durham,,http://www.angelfire.com/la2/durhamlibrary,Public or Union Library,2507,1186,0,0,01/01/2000,12/31/2000,SOLS,1478,0,Nil,5691,45794,14371,15582,95,3643,0,0,85176,0,0,0,0,0,16603,65,43673,614,9328,1958,0,0,0,0,0,2387,74628,10547,515,0,0,515,0,0,2,0,0,30,0,0,30,0,0,20930,0,0,20930,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,1078,0,0,35,0,0,0,0,0,0,0,0,0,1,26,1,20,2,8,4,4,0,4,Yes,Winnebago Circ/Cat (Dos),0,1,40,0,0,0,0,0,0,0,0,0,28485,5,125,536,688,592,860,624,220,36,0,0,34,5,253,0
143,Dymond Twp,2000,90,Dymond Twp,Temiskaming Shores Public Library,P.O. Box 5030,P0J1P0,New Liskeard,181 Drive-In Theatre Road,www.dymond.ca,Contracting Municipality,1200,436,0,0,01/01/2000,12/31/2000,OLS-N,0,0,Nil,2226,3710,0,0,0,0,0,0,5936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5936,0,5936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Ear Falls Twp,2000,82,Ear Falls Twp,,P.O. Box 369,P0V1T0,Ear Falls,50 Balsam Avenue,www.olsn.ca/earfallspl,Public or Union Library,1030,545,0,0,01/01/2000,12/31/2000,OLS-N,0,0,Nil,4302,72258,0,505,80,5893,0,342,83380,0,0,7065,5000,12065,10376,0,61982,433,7682,1588,0,1231,80,0,0,0,83372,12065,50,0,0,513,0,0,2,0,0,6,0,0,6,0,0,15880,0,0,16154,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,1,0,0,0,0,0,0,0,0,1,20,0,0,4,4,4,4,Yes,Winnebago,0,1,30,0,0,0,0,0,0,0,0,0,21553,10,200,91,0,110,0,350,25,50,0,0,0,0,300,0
145,East Ferris Twp,2000,85,East Ferris Twp,,PO Box 160,P0H1B0,Astorville,1257 Village Road,www.eastferrispubliclibrary.ca,Public or Union Library,4292,1786,0,0,01/01/2000,12/31/2000,OLS-N,522,-1451,Deficit,8531,27781,0,6916,2500,1321,0,0,47049,0,0,0,0,0,8100,106,23719,335,4725,598,633,440,0,0,0,1930,40586,1503,28,6,0,52,45,0,0,0,0,2,1,0,2,1,0,10719,2917,0,10742,2925,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,2,13,4,4,0,4,No,,0,1,20,0,0,0,0,0,0,0,0,0,11512,16,62,101,0,109,0,238,14,41,0,0,10,0,113,0
146,East Garafraxa Twp,2000,43,East Garafraxa Twp,,R.R.#3,L0N1N0,Orton,,www.amaranth-eastgary.ca,Contracting Municipality,1951,716,0,0,01/01/2000,12/31/2000,OLS-N,0,0,Nil,3193,39388,0,0,0,0,0,0,42581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42581,0,42581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,East Gwillimbury,2000,27,East Gwillimbury,,"P.O. Box 1609,  19513 Yonge Street",L9N1P2,Holland Landing,,www.egpl.ca,Public or Union Library,21500,6299,0,0,01/01/2000,12/31/2000,SOLS,11898,18515,Surplus,25967,491374,0,9708,3920,27716,0,0,558685,0,0,0,0,0,75498,6842,369058,1964,42252,8916,0,15395,13700,0,0,41770,575395,0,511,0,0,1002,0,0,0,0,0,5,0,0,8,0,0,49264,465,148,59354,465,148,32,0,0,32,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,3,0,0,1,0,1,17.5,0,0,5,93,8,74,0,0,18,3,7,8,Yes,Dynix,0,1,43,1,26,0,0,0,0,0,0,0,149224,328,5608,802,1568,1381,2373,2271,302,121,0,0,409,0,1164,90
28,East Hawkesbury Twp,2000,67,East Hawkesbury Twp,,C.P. 340,K0B1P0,St. Eugene,5151 County Road No. 14,easthawkesbury.ca,Contracting Municipality,3335,1356,0,0,01/01/2000,12/31/2000,OLS-N,0,0,Nil,6017,5315,0,0,0,0,0,0,11332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11332,0,11332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,East Luther Grand Valley Twp,2000,43,East Luther Grand Valley Twp,,P.O. Box 129,L0N1G0,Grand Valley,4 Amaranth Street East,www.grandvalley.org,Public or Union Library,2560,966,2188,796,01/01/2000,12/31/2000,SOLS,2378,1035,Surplus,4298,62898,47281,20671,0,3117,1100,4144,143509,0,0,1600,11955,13555,18920,410,74435,1289,26502,3774,0,14900,0,0,0,1885,142115,11622,229,0,0,338,0,0,1,0,0,36,0,0,36,0,0,23440,31,0,23714,31,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,1,0,0,0,0,0,0,0,0,0,5,55.5,2,6,9,6,2,1,Yes,Winnebago,0,1,30,0,0,0,0,0,0,0,0,0,48944,21,1002,395,994,669,1471,917,40,38,0,0,27,0,396,0
149,Edwardsburgh Twp,2000,56,Edwardsburgh Twp,Edwardsburgh/Cardinal,P.O. Box 130,K0E1X0,Spencerville,5 Henderson St,,Public or Union Library,4640,1983,0,0,01/01/2000,12/31/2000,SOLS,1497,2080,Surplus,10858,13500,0,0,0,1873,0,1120,27351,0,0,18051,0,18051,7213,0,23885,0,2417,1032,0,249,0,0,0,0,34796,16965,37,0,0,67,0,0,0,0,0,0,0,0,0,0,0,10405,0,0,10416,0,0,12,0,0,12,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,1,7.5,0,0,2,6,1,1,0,0,No,,0,1,13.5,0,0,0,0,0,0,0,0,0,5812,1,16,71,2,76,2,102,61,7,0,0,102,0,135,0
151,Elgin County,2000,44,Elgin County,,450 Sunset Drive,N5R5V1,St. Thomas,450 Sunset Drive,www.library.elgin-county.on.ca,"County, County co-operative or Regional Municipality Library",45175,18721,0,0,01/01/2000,12/31/2000,SOLS,8358,0,Nil,116739,1331277,0,108158,0,22391,0,0,1578565,0,0,0,59459,59459,183387,5428,1022548,17826,154585,26658,13164,66000,0,0,0,29510,1519106,59459,1230,0,0,4960,0,0,17,0,0,56,0,0,196,0,0,103222,0,0,191144,0,0,33,0,0,57,0,0,238,0,0,2,0,0,1,0,0,2,0,0,3090,0,0,35,2,3,1,5,0,0,0,0,0,4,67.5,22,407.5,34,30,80,80,70,80,Yes,Multilis,0,1,35,9,257.5,2,18,0,0,3,31,0,301018,68,799,2413,2794,2528,4374,5474,2603,460,5,0,706,235,3246,344
53,Elizabethtown Twp,2000,56,Elizabethtown Twp,Elizabethtown - Kitley, R.R. #2,K0E1A0,Addison,6544 New Dublin Road,,Public or Union Library,8000,2787,0,0,01/01/2000,12/31/2000,SOLS,1050,0,Nil,15554,41735,0,200,1920,400,0,0,59809,0,0,0,0,0,6496,0,23230,128,6792,1110,953,200,0,0,20000,900,59809,0,50,0,0,996,0,0,0,0,0,20,0,0,20,0,0,29904,40,0,29999,40,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,9,9,5,2,0,5,No,,0,1,12,0,0,0,0,1,11,0,0,1,21366,17,265,23,0,30,0,250,320,5,0,0,10,0,120,0
152,Elliot Lake,2000,80,Elliot Lake,,151 Ontario Avenue,P5A2T2,Elliot Lake,,http://www.elliotlakelibrary.com/en/,Public or Union Library,14598,6225,609,393,01/01/2000,12/31/2000,OLS-N,2840,0,Nil,37522,165364,2007,4800,12600,17514,98134,0,337941,0,0,61760,0,61760,31849,0,187156,550,104267,2684,1292,2561,0,0,0,7582,337941,61760,542,43,0,998,83,0,2,2,0,3,3,0,9,9,0,36611,3625,101,37429,3746,101,14,0,0,14,0,0,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,1,0,0,3,0,0,0,0,0,0,0,3,20.5,2,2,4,3,1,3,Yes,Winnebago Spectrum 4.0,0,1,47.5,0,0,0,0,0,0,0,0,0,90254,0,0,0,0,0,0,1634,322,106,0,0,54,0,1339,0
98,Emo Twp,2000,87,Emo Twp,,P.O. Box 490,P0W1E0,Emo,JESSIE STREET,www.emo.ca/library,Public or Union Library,1165,522,1923,728,01/01/2000,12/31/2000,OLS-N,1222,7684,Surplus,2483,33000,3715,13804,8079,5650,5273,0,72004,0,0,0,0,0,10370,0,35051,0,2414,1696,0,8800,0,0,0,15390,73721,0,15,0,0,250,0,0,0,0,0,5,0,0,5,0,0,25220,0,0,25220,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,1,0,0,0,0,0,0,0,0,3,17,0,0,3,3,0,3,No,,0,1,31,0,0,0,0,0,0,0,0,0,28000,0,0,400,0,550,0,583,46,35,0,0,86,0,225,0
54,Englehart,2000,90,Englehart,,P.O. Box 809,P0J1H0,Englehart,71 Fourth Avenue,http://www.englehartpubliclibrary.ca,Public or Union Library,1655,743,1568,648,01/01/2000,12/31/2000,OLS-N,2162,0,Nil,7078,35324,15375,27774,0,5670,1848,0,93069,0,0,0,8162,8162,9000,480,45128,400,3842,1363,0,18434,0,0,0,0,78647,6330,382,22,0,503,39,0,2,0,0,12,3,0,42,3,0,11946,701,0,12309,732,0,56,0,0,71,0,0,42,0,0,1,0,0,0,0,0,0,0,0,770,0,0,0,0,0,0,0,0,1,25,0,0,1,20,3,18,3,10,11,8,2,7,Yes,Athena,0,1,27,0,0,0,0,0,0,0,0,0,19372,13,412,217,1,231,217,402,41,37,3,0,14,0,218,0
52,Espanola,2000,88,Espanola,,245 Avery Drive,P5E1S4,Espanola,,www.espanola.library.on.ca,Public or Union Library,5306,2377,1292,628,01/01/2000,12/31/2000,OLS-N,3867,0,Nil,30865,191183,3573,12390,4000,26800,0,0,268811,0,0,0,0,0,37500,1000,162535,1000,15950,4000,0,0,26524,0,0,5265,253774,0,1050,80,0,1103,101,0,0,0,0,0,0,0,0,0,0,37265,4455,0,40992,4911,0,27,6,0,27,6,0,2304,210,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0,0,0,0,3,24,0,0,0,0,3,10,0,0,5,5,5,5,Yes,Winnebago Spectrum 4.0,0,1,60,0,0,0,0,0,0,0,0,0,65847,63,30,466,739,751,1331,1541,70,35,0,0,48,20,795,45
